	PCA_1	PCA_2	UMAP_1	UMAP_2	tSNE_1	tSNE_2
TCGA-64-1680-01	0.8382890798756973	-2.8496220061749753	13.54661	7.186859	-4.3266377	-20.724493
TCGA-64-1681-01	-4.156998966656454	-0.28868970768728613	16.61955	4.3060856	-13.9626465	12.16996
TCGA-64-5774-01	-2.2180984134970596	-3.520788364971361	14.359017	5.6002765	-3.2479398	19.539621
TCGA-64-5775-01	-2.0820854683314027	-3.669531949456303	14.069546	4.6373773	2.1114573	16.695402
TCGA-64-5778-01	-0.12568456576864506	4.995495656000768	14.144564	7.053484	2.1814344	-3.4049215
TCGA-64-5779-01	-2.4908527460719734	-1.4300734729725262	16.7031	5.042321	-12.416241	8.18357
TCGA-64-5781-01	2.2933589030909522	0.0064198113046809524	15.740801	8.388423	-6.3132105	-5.159756
TCGA-64-5815-01	2.696181448034478	1.2041834894961172	15.402864	8.095159	-2.383009	-5.2628474
TCGA-67-3770-01	-0.6963245218928319	0.6906064428909453	9.2228775	7.62224	16.905388	-15.872708
TCGA-67-3771-01	-3.8588654045908495	-1.7881455542307811	13.756171	4.2437496	4.98389	16.837084
TCGA-67-3772-01	2.2369161300002753	0.4248876661155326	10.128797	7.0968256	10.035608	-12.753924
TCGA-67-3773-01	1.5206621749214924	-0.6314871082897117	9.706482	7.816497	14.573457	-16.789434
TCGA-67-3774-01	2.244486417951819	-0.16608268281572863	10.35998	7.095759	9.721805	-12.749781
TCGA-67-4679-01	3.805074360480465	0.3170139732773712	11.092865	8.220429	7.2814293	-19.02288
TCGA-67-6215-01	1.9432684137094556	-0.857599855564883	9.8356495	7.868418	14.246692	-16.905846
TCGA-67-6216-01	3.762406621024175	0.514924876944652	10.220028	7.920858	11.972921	-16.36223
TCGA-67-6217-01	-0.3145169985812752	-0.3205573698566044	9.325999	7.775598	16.88776	-17.349937
TCGA-69-7760-01	-0.22346787396448253	5.640849974896001	10.331497	4.828834	18.081356	0.21676458
TCGA-69-7761-01	2.765939014156139	2.390238186106307	15.345091	8.117173	-1.6076967	-4.053045
TCGA-69-7763-01	-5.05308753251483	-3.2376704770704774	14.865844	4.8121767	-0.48373744	16.405544
TCGA-69-7764-01	0.406066206007608	1.8745841598440083	12.596329	7.403389	21.423082	-6.570691
TCGA-69-7765-01	3.388987436983511	-2.250367355367776	12.094582	7.9307704	2.4516745	-14.533712
TCGA-69-7973-01	-3.9320623370594534	-2.283369961830353	17.11415	4.868002	-16.77099	9.629069
TCGA-69-7974-01	-0.15883475992843943	0.4327403563655988	16.236593	6.595511	-8.910683	1.9548762
TCGA-69-7978-01	2.1913569023938173	-0.9274764916614847	16.242718	8.179748	-9.232078	-5.1763716
TCGA-69-7979-01	-4.991563610109966	1.2970371886614365	16.173868	3.9217565	-11.9342165	16.114315
TCGA-69-7980-01	-4.257204772884993	1.402849802453413	12.438582	3.4221382	10.901309	10.520675
TCGA-69-8253-01	3.542132019951258	-2.3611774391105653	10.617349	7.7642612	5.950079	-13.6919775
