Sample ID,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
TCGA-95-7567-01,6.8083405,14.107459,-9.358781,15.595379,3.7525005,-9.549154,-4.8851237,13.638106,8.228034,7.9347644,1.704086,11.743089,9.079397,4.067199,10.01294,2.183981
TCGA-67-4679-01,6.1334743,14.484731,-9.821878,16.118277,3.5252244,-10.066421,-5.9576993,14.665102,7.552551,8.714185,0.7112133,11.299284,10.023447,3.4868739,10.256666,1.6628481
TCGA-62-A46R-01,6.4503894,14.578631,-9.564732,16.605598,3.2058873,-8.849684,-5.7211585,13.504298,7.729298,7.594859,1.2127388,11.731938,9.0907955,3.1605425,10.545769,1.8715136
TCGA-86-8054-01,6.782156,14.105554,-9.318573,15.486074,3.6733193,-9.537667,-4.6766615,13.57831,8.239084,7.903753,1.7778594,11.822901,9.124973,4.22851,9.818049,2.1593049
TCGA-99-8025-01,6.0250473,14.682913,-9.264104,16.20664,3.2533636,-9.378954,-5.1081014,13.231178,7.6023107,7.8377943,0.67704576,12.269614,8.916893,3.3101091,10.183135,2.28097
TCGA-69-7760-01,6.4453287,14.107007,-9.546728,15.652202,3.7520895,-9.79179,-4.923617,13.632406,8.086928,8.088778,1.4214586,11.869448,9.470127,4.1573596,9.626404,2.1258373
TCGA-62-8394-01,6.3575177,14.599843,-9.555794,16.564327,3.2349112,-8.899052,-5.659088,13.49681,7.69719,7.6474433,1.1439662,11.880375,9.053645,3.0681996,10.556673,1.983607
TCGA-44-7669-01,6.3680906,14.222276,-9.129312,15.227798,3.6556058,-9.882367,-4.5334806,13.638271,8.025379,8.220695,1.2009625,12.225736,9.185987,4.087358,9.860729,2.2927182
TCGA-17-Z053-01,5.4639144,14.991368,-9.557778,16.227074,2.8601973,-9.53174,-4.947727,13.7314005,7.317548,7.9462857,0.3965695,12.31917,9.573453,3.2633555,9.314029,1.8022289
TCGA-44-8120-01,6.240831,14.321089,-9.594371,15.849002,3.4248514,-10.085068,-5.190671,14.348571,7.863633,8.198974,1.2331492,11.712441,9.314533,3.942187,10.123247,2.0289514
TCGA-05-4389-01,6.6298146,14.438761,-9.522918,16.463331,3.3582432,-8.950834,-5.48859,13.379423,7.9226904,7.4117985,1.4953185,11.7322645,8.86146,3.4573007,10.476202,2.1880186
TCGA-78-7167-01,5.973043,14.577847,-9.614671,16.530615,3.1206515,-9.609269,-5.121697,14.1728115,7.6354427,7.4993277,1.3011485,11.993445,8.545063,3.4857073,10.571641,2.158316
TCGA-73-4675-01,5.7500157,14.518088,-9.227239,16.270992,3.3974602,-9.3322735,-5.2612047,13.72475,7.544636,7.933054,0.8000502,12.278836,8.995816,2.8719199,10.525767,2.0466397
TCGA-05-4382-01,6.794422,14.413264,-9.450449,16.28895,3.3059804,-9.04359,-5.272925,13.517058,8.004988,7.5076017,1.608431,11.831069,8.686138,3.633716,10.638237,2.114891
TCGA-17-Z011-01,5.30401,15.077376,-9.667637,16.281013,2.7609532,-9.556401,-4.9865956,13.812462,7.1888914,7.924982,0.31966662,12.389697,9.543085,3.1869032,9.328207,1.8410678
TCGA-44-6776-01,6.2589025,14.865709,-9.750012,16.52683,3.0375192,-10.327278,-5.930625,14.502905,7.3843336,8.438156,0.4183897,11.35091,9.465768,3.8053703,10.531135,1.7933978
TCGA-64-1679-01,6.246235,14.646254,-9.052122,16.266706,3.1301394,-9.436879,-4.9308443,13.19063,7.708567,7.7010994,0.9271593,12.514387,8.672234,3.5298848,10.428418,2.1369514
TCGA-55-7815-01,6.1597385,14.036583,-9.189174,15.361501,3.7531235,-9.742188,-4.965383,14.009952,8.043318,8.414162,1.2308578,12.09241,9.522605,3.5519762,10.01765,1.944282
TCGA-05-4405-01,6.590289,14.4742985,-9.496746,16.49236,3.3140068,-8.7686825,-5.6085067,13.363569,7.8665566,7.4862633,1.4013715,11.732284,9.002369,3.2513492,10.507152,1.9860742
TCGA-93-7348-01,6.356799,14.214346,-9.254466,15.140438,3.825608,-9.8874655,-4.7671647,13.826454,7.9010944,8.609387,1.1200647,12.035119,9.653082,3.886127,9.678275,1.9849958
TCGA-55-8302-01,6.447942,14.08452,-9.413784,15.625038,3.6892354,-9.853737,-5.1704507,14.144115,8.056635,8.320426,1.4225566,11.738178,9.490141,3.8694327,10.109934,1.9413719
TCGA-62-A471-01,6.0550976,14.524333,-9.439978,16.20268,3.377693,-9.6400175,-5.0158935,13.328852,7.7330914,7.68027,1.0519235,12.269956,9.001942,3.592581,9.958322,2.507345
TCGA-44-7667-01,6.2879906,14.510869,-9.152212,15.670958,3.4450936,-9.347972,-4.5806456,13.278642,7.8334317,7.7398543,1.1227382,12.188366,8.675284,3.720156,10.026941,2.4714
