,run,na_ratio,tool,mae_cont,mae_cat,mae_joint,acc_cat,mre_cont,dim,bins,discretization
89,1.0,0.25,POME,16.074199420235665,-1,-1,0.8792569659442725,104164514350198.5,64,7,nonlinear
90,7.0,0.5,KNN,18.608024341476177,-1,-1,0.8647784376427593,142822694859324.66,-1,-1,
91,7.0,0.5,AutoComplete,17.614379671052212,-1,-1,0.8764275925079945,144780921518367.75,-1,-1,
92,7.0,0.5,MissForest,14.83045354436474,-1,-1,0.8663773412517131,49249677778652.266,-1,-1,
93,7.0,0.5,POME,16.741804006849126,-1,-1,0.8663773412517131,108015529107172.22,16,7,nonlinear
94,7.0,0.5,POME,16.89289560094356,-1,-1,0.8704888076747374,108211861699601.9,32,7,nonlinear
95,7.0,0.5,POME,17.096305100944644,-1,-1,0.8736866148926451,113196088646997.1,64,7,nonlinear
96,4.0,0.1,KNN,17.549652833784656,-1,-1,0.863431151241535,127792339314028.81,-1,-1,
97,4.0,0.1,AutoComplete,17.283146883576936,-1,-1,0.873589164785553,144195717181166.8,-1,-1,
98,4.0,0.1,MissForest,14.054263368713961,-1,-1,0.8623024830699775,44856853643281.15,-1,-1,
99,4.0,0.1,POME,17.97301515038941,-1,-1,0.8623024830699775,116934142289521.25,16,7,nonlinear
100,4.0,0.1,POME,17.88599434096368,-1,-1,0.873589164785553,116934142289521.23,32,7,nonlinear
101,4.0,0.1,POME,17.936765198669832,-1,-1,0.873589164785553,116934142289521.23,64,7,nonlinear
102,1.0,0.05,KNN,15.955037516935931,-1,-1,0.8654708520179372,99720469758522.86,-1,-1,
103,1.0,0.05,AutoComplete,16.186248942829366,-1,-1,0.899103139013453,133910626625685.86,-1,-1,
104,1.0,0.05,MissForest,12.023473724909934,-1,-1,0.8811659192825112,38304286087837.3,-1,-1,
105,1.0,0.05,POME,16.149577759443304,-1,-1,0.8811659192825112,110805052510739.02,16,7,nonlinear
106,1.0,0.05,POME,16.126514425176232,-1,-1,0.8811659192825112,110805052510739.0,32,7,nonlinear
107,1.0,0.05,POME,15.89711804955432,-1,-1,0.9013452914798207,110805052510739.0,64,7,nonlinear
108,9.0,0.25,KNN,17.189247503014393,-1,-1,0.8693105002253267,150045961365852.88,-1,-1,
109,9.0,0.25,AutoComplete,16.678403248966227,-1,-1,0.8909418657052727,134876365965361.98,-1,-1,
110,9.0,0.25,MissForest,13.862716337781428,-1,-1,0.868409193330329,45833772429119.086,-1,-1,
111,9.0,0.25,POME,16.75047424701565,-1,-1,0.8855340243352862,111913241120715.84,16,7,nonlinear
112,9.0,0.25,POME,16.99578482411138,-1,-1,0.8886885984677783,111913241120715.89,32,7,nonlinear
113,9.0,0.25,POME,16.778835330534932,-1,-1,0.8846327174402884,113219711711615.95,64,7,nonlinear
114,7.0,0.05,KNN,16.171989882452163,-1,-1,0.8799076212471132,95606309732394.22,-1,-1,
115,7.0,0.05,AutoComplete,14.549794052981,-1,-1,0.9053117782909931,133492583374458.1,-1,-1,
116,7.0,0.05,MissForest,11.661911201410575,-1,-1,0.8799076212471132,38371670136992.94,-1,-1,
117,7.0,0.05,POME,15.550313635322453,-1,-1,0.8799076212471132,119252740287564.5,16,7,nonlinear
118,7.0,0.05,POME,14.980798462596763,-1,-1,0.9030023094688222,119252740287564.5,32,7,nonlinear
119,7.0,0.05,POME,15.101202944238981,-1,-1,0.9053117782909931,129464101930188.58,64,7,nonlinear
120,8.0,0.1,KNN,16.62988385180682,-1,-1,0.8619528619528619,140451701727370.23,-1,-1,
121,8.0,0.1,AutoComplete,16.025811465888754,-1,-1,0.8754208754208754,137288383964721.2,-1,-1,
122,8.0,0.1,MissForest,12.085293464957719,-1,-1,0.8630751964085297,42741741160037.016,-1,-1,
123,8.0,0.1,POME,15.653071347000687,-1,-1,0.8630751964085297,115334341986724.22,16,7,nonlinear
124,8.0,0.1,POME,15.713396317683598,-1,-1,0.8574635241301908,115334341986724.22,32,7,nonlinear
125,8.0,0.1,POME,15.376242619512373,-1,-1,0.877665544332211,118125464924557.86,64,7,nonlinear
126,7.0,0.1,KNN,16.967998074374094,-1,-1,0.8607456140350878,100668277632789.92,-1,-1,
127,7.0,0.1,AutoComplete,16.061491487212628,-1,-1,0.8760964912280702,114337652019063.28,-1,-1,
128,7.0,0.1,MissForest,12.873732895925086,-1,-1,0.8596491228070176,30408318810688.74,-1,-1,
129,7.0,0.1,POME,16.67748830354117,-1,-1,0.8596491228070176,99612445559265.05,16,7,nonlinear
130,7.0,0.1,POME,16.68979360114352,-1,-1,0.8695175438596491,99612445559265.03,32,7,nonlinear
131,7.0,0.1,POME,16.759650837395313,-1,-1,0.8739035087719298,102844862454633.77,64,7,nonlinear
132,3.0,0.01,KNN,16.011628745447187,-1,-1,0.9385964912280702,104831629632437.72,-1,-1,
133,3.0,0.01,AutoComplete,15.484463218765692,-1,-1,0.9385964912280702,138464675387626.73,-1,-1,
134,3.0,0.01,MissForest,10.878223638700609,-1,-1,0.9385964912280702,44331068715295.94,-1,-1,
135,3.0,0.01,POME,15.908664524135256,-1,-1,0.9385964912280702,123453192193481.8,16,7,nonlinear
136,3.0,0.01,POME,15.608636905926291,-1,-1,0.9473684210526315,123453192193481.8,32,7,nonlinear
137,3.0,0.01,POME,15.757417431924914,-1,-1,0.9473684210526315,123453192193481.8,64,7,nonlinear
138,9.0,0.1,KNN,16.10715249244524,-1,-1,0.8865168539325843,112082480454220.48,-1,-1,
139,9.0,0.1,AutoComplete,16.046220613032098,-1,-1,0.9101123595505618,120616440451769.02,-1,-1,
140,9.0,0.1,MissForest,12.170823456167714,-1,-1,0.8876404494382022,40259910658685.01,-1,-1,
141,9.0,0.1,POME,16.21523181893453,-1,-1,0.8876404494382022,106696632672420.62,16,7,nonlinear
142,9.0,0.1,POME,16.19725796181356,-1,-1,0.898876404494382,107492512254637.23,32,7,nonlinear
