Method,Target,Type,Score,Precision,Recall,F1
POME,Neutropenic Fever,AP,0.22285784223376898,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.14092795046205392,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.08698412878482994,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.09016952869098076,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.11959740149232917,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.10575675979253461,0.0,0.0,0.0
Naive,Neutropenic Fever,AP,0.0512646793134598,-1.0,-1.0,-1.0
POME,Aplasia,AP,0.2552386083872584,0.0,0.0,0.0
UMAP,Aplasia,AP,0.3399765998426112,0.358974358974359,0.15730337078651685,0.21875
POME,Aplasia,AP,0.21017714806894708,0.0,0.0,0.0
UMAP,Aplasia,AP,0.3691267607547688,0.5714285714285714,0.16901408450704225,0.2608695652173913
POME,Aplasia,AP,0.33469834089881445,0.0,0.0,0.0
UMAP,Aplasia,AP,0.40175685731211663,0.5,0.24444444444444444,0.3283582089552239
POME,Aplasia,AP,0.39273282266193,0.0,0.0,0.0
UMAP,Aplasia,AP,0.48944821483956313,0.6153846153846154,0.24742268041237114,0.35294117647058826
POME,Aplasia,AP,0.37867831357033954,0.0,0.0,0.0
UMAP,Aplasia,AP,0.5596447462412908,0.6,0.29464285714285715,0.39520958083832336
POME,Aplasia,AP,0.4640141881927757,0.0,0.0,0.0
UMAP,Aplasia,AP,0.6167944504313394,0.7346938775510204,0.2589928057553957,0.3829787234042553
POME,Aplasia,AP,0.3637032218620848,0.0,0.0,0.0
UMAP,Aplasia,AP,0.4046773050552115,0.56,0.1728395061728395,0.2641509433962264
POME,Aplasia,AP,0.2910144852249886,0.0,0.0,0.0
UMAP,Aplasia,AP,0.4193978723916155,0.5675675675675675,0.2625,0.358974358974359
POME,Aplasia,AP,0.35942817915254527,0.0,0.0,0.0
UMAP,Aplasia,AP,0.47759419322468777,0.6764705882352942,0.25555555555555554,0.3709677419354839
POME,Aplasia,AP,0.4698506015352104,0.0,0.0,0.0
UMAP,Aplasia,AP,0.5441529203651965,0.6923076923076923,0.3,0.4186046511627907
Naive,Aplasia,AP,0.21205962059620595,-1.0,-1.0,-1.0
POME,Neutropenic Fever,AP,0.08143730222218244,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.052400471026794154,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.04807747166445808,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.11078533135361524,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.12421567760037357,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.14692976873191754,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.07120816625364976,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.15442950906763692,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.08120978531635302,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.21357416617903802,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.1352209150538587,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.14540989279046085,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.19697311119113053,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.19486378094632015,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.07838755533113578,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.14533989994563637,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.03799605746066957,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.08766089423579718,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.10814438591562671,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.10588440856708324,0.0,0.0,0.0
Naive,Neutropenic Fever,AP,0.0512646793134598,-1.0,-1.0,-1.0
POME,Aplasia,AP,0.3052960632945517,0.3125,0.056179775280898875,0.09523809523809523
UMAP,Aplasia,AP,0.3410619509021464,0.36585365853658536,0.16853932584269662,0.23076923076923078
POME,Aplasia,AP,0.3337497483643824,0.0,0.0,0.0
UMAP,Aplasia,AP,0.36500050389245486,0.5909090909090909,0.18309859154929578,0.27956989247311825
POME,Aplasia,AP,0.450075135587161,0.8,0.044444444444444446,0.08421052631578947
UMAP,Aplasia,AP,0.4103160617530609,0.5,0.24444444444444444,0.3283582089552239
POME,Aplasia,AP,0.40126256453436027,0.8333333333333334,0.05154639175257732,0.0970873786407767
UMAP,Aplasia,AP,0.5065068838282096,0.6097560975609756,0.25773195876288657,0.36231884057971014
POME,Aplasia,AP,0.43509534613884887,0.4444444444444444,0.03571428571428571,0.06611570247933884
UMAP,Aplasia,AP,0.5624051419789682,0.6,0.29464285714285715,0.39520958083832336
POME,Aplasia,AP,0.514431353056845,0.0,0.0,0.0
UMAP,Aplasia,AP,0.6140010932669919,0.7391304347826086,0.2446043165467626,0.3675675675675676
POME,Aplasia,AP,0.3868150381597854,0.75,0.037037037037037035,0.07058823529411765
UMAP,Aplasia,AP,0.40996840223439174,0.52,0.16049382716049382,0.24528301886792453
POME,Aplasia,AP,0.3826771542062842,0.6666666666666666,0.025,0.04819277108433735
UMAP,Aplasia,AP,0.4194248117277839,0.5428571428571428,0.2375,0.33043478260869563
POME,Aplasia,AP,0.4589804903864168,0.5,0.011111111111111112,0.021739130434782608
UMAP,Aplasia,AP,0.4727579257298979,0.6571428571428571,0.25555555555555554,0.368
POME,Aplasia,AP,0.5349259030108863,1.0,0.011111111111111112,0.02197802197802198
UMAP,Aplasia,AP,0.5435425462251973,0.65,0.28888888888888886,0.4
Naive,Aplasia,AP,0.21205962059620595,-1.0,-1.0,-1.0
POME,Neutropenic Fever,AP,0.043904939534396725,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.05069095795359981,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.08614213299244008,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.10897110365712784,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.12037883874253799,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.16588898938768384,0.0,0.0,0.0
